name,resolved_if_double,ra,dec,v,b-v,spectral_type,pi,mv,d,mu,pa,rv,remarks,common_name,arabic_name
alp Cen,B,14 39.5,-60 50,1.33,0.88,K1 V,0.750,5.7,4,3.678,281.0,-21 V?,"BA: 21""; C: Proxima, 12.4, M5e, 2",,
alp Cen,A,14 39.5,-60 49,-0.01,0.71,G2 V,0.750,4.4,4,3.678,281.0,-25 SB,"AB: 21""",Rigil Kentaurus,رجل القنطور
alp Lup,,14 41.7,-47 23,2.3v,-0.2,B1.5 III,,-4.1,580,0.026,220.0,+5 SB,"var: 2.28 2.31, 0.26d",,
alp Cir,,14 42.2,-64 58,3.19,0.24,A7p (Sr),0.056,2.0,58,0.302,218.0,+7 SB?,"B: 8.6, K5 V, 16""",,
eps Boo,AB,14 44.8,+27 05,2.37,0.97,K0 II-III+A0 V,0.016,-1.0,160,0.054,289.0,-17 V,"A: 2.70; B: 5.12, 3""",,
alp Lib,A,14 50.7,-16 01,2.75,0.15,A3 III-IV,0.050,1.2,65,0.13,237.0,-23 SB,,Izar,إزار
bet UMi,,14 50.7,+74 11,2.08,1.47,K4 III,0.039,-0.2,83,0.036,286.0,+17 V,,Zuben Elgenubi,الزبان الجنوبي
bet Lup,,14 58.3,-43 07,2.68,-0.22,B2 IV,,-3.1,460,0.057,221.0,+0 SB,,Kocab,الكوكب
kap Cen,,14 59.0,-42 05,3.13,-0.2,B2 V,,-1.9,320,0.033,215.0,+8 SB,,,
bet Boo,,15 01.7,+40 25,3.50,0.97,G8 IIIa(note),0.037,-0.8,230,0.056,235.0,-20,"Ba 0.4, Fe -0.5",Nekkar,البقار
sig Lib,,15 03.8,-25 15,3.3v,1.7,M2.5 III,0.064,-1.0,51,0.087,237.0,-4,var: 3.20-3.36,Brachium,
zet Lup,,15 12.0,-52 05,3.41,0.92,G8 III,0.043,0.3,130,0.128,237.0,-10,,,
del Boo,,15 15.3,+33 20,3.47,0.95,G8 III Fe-1,0.030,0.3,140,0.143,144.0,-12 SB,,,
bet Lib,,15 16.8,-9 22,2.61,-0.11,B8 IIIn,0.000,-2.1,100,0.101,275.0,-35 SB,,Zuben lschemali,الزبان الشمالي
gam TrA,,15 18.6,-68 39,2.89,0.0,A1 IIIn,0.010,0.2,110,0.067,243.0,-3 V,,,
gam UMi,,15 20.7,+71 51,3.05,0.05,A3 III,0.003,0.4,110,0.031,308.0,-4 V,,Pherkad,فرقد
del Lup,,15 21.2,-40 38,3.2v,-0.22,B1.5 IVn,,-3.4,650,0.036,207.0,+0 V?,,,
eps Lup,AB,15 22.5,-44 40,3.37,-0.18,B2 IV V,D.009,-2.5,510,0.024,232.0,+8 SB2,"A: 3.5; B: 5.0, <1""",,
iot Dra,,15 24.8,+58 59,3.29,1.16,K2 III,0.040,0.1,140,0.02,311.0,-11,,Ed Asich,الذيخ
alp CrB,,15 34.6,+26 44,2.2v,-0.02,A0 IV(composite),0.045,0.3,78,0.151,127.0,+2 SB,"ecl: 2.21-2.32, 17.4d",Alphekka,الفكة
gam Lup,AB,15 34.9,-41 09,2.78,-0.2,B2 IVn,D.008,-3.1,650,0.035,207.0,+2 V,"A: 3.5; B: 3.6, <1""; similar spectra",,
alp Ser,,15 44.1,+6 26,2.65,1.17,K2 IIIb CN1,0.053,0.7,62,0.143,72.0,+3 V?,var?,Unukalhai,عنق الحية
mu  Ser,,15 49.5,-3 25,3.53,-0.04,A0 III,0.007,0.0,170,0.094,253.0,-9 SB,,,
bet TrA,,15 54.8,-63 25,2.85,0.29,F0 IV,0.083,2.2,39,0.438,205.0,+0,,,
pi  Sco,A,15 58.8,-26 06,2.89,-0.19,B1 V + B2 V,0.010,-3.2,-522,0.028,198.0,-3 SB2,"A: occ.bin: 3.4 + 4.5, 0.0003"" sep.",,
T CrB,,15 59.3,+25 56,2.0v,0.1,gM3: + Bep,,-1.0,8200,0.013,327.0,-29 SB,"recurrent nova 1866, 1946; now V=11",,
eta Lup,A,15 59.9,-38 23,3.41,-0.22,B2.5 IVn,D.008,-2.7,550,0.04,213.0,+8 V,"A: 3.47, B: 7.70, 15""",,
del Sco,AB,16 00.2,-22 37,2.32,-0.12,B0.3 IV,,-4.4,-522,0.027,202.0,-7 SB,"AB:mult<1"";C:4.9,B2IV-V,8""",Dschubba,
bet Sco,AB,16 05.2,-19 48,2.62,-0.07,B0.5 V,0.009,-3.5,-522,0.022,196.0,-1 SB,"A: 2.78; B: 5.04, 1""; C: 4.93, 14""",Graffias,
del Oph,,16 14.2,-3 41,2.74,1.58,M1 III,0.034,-0.8,160,0.153,198.0,-20 V,,Yed Prior,مقدمة يد الحواء
eps Oph,,16 18.2,-4 41,3.24,0.96,G9.5 IIIb,0.043,0.7,130,0.089,64.0,-10 V,,Yed Posterior,مؤخر يد الحواء
sig Sco,A,16 21.0,-25 35,2.9v,0.13,B1 III,,-4.4,-522,0.025,201.0,+3 SB,"var: 2.94-3.06,0.25d; B: 8.3, B9 V, 20""",,
eta Dra,A,16 23.9,+61 31,2.74,0.91,G8 IIIab,0.051,0.3,64,0.064,338.0,-14 SB?,"B: 8.7, 6""",,
alp Sco,A,16 29.3,-26 26,0.9v,1.83,M1.5 Iab,0.024,-5.2,-522,0.024,197.0,-3 SB,"B: 5.37, B2.5 V, 3""",Antares,قلب العقرب
bet Her,,16 30.2,+21 30,2.77,0.94,G7 IIIa,0.024,-0.8,170,0.1,260.0,-26 SB,,Kornephoros,
tau Sco,,16 35.7,-28 13,2.82,-0.25,B0 V,0.020,-4.0,-522,0.026,198.0,+2 V,,,
zet Oph,,16 37.0,-10 34,2.56,0.02,O9.5 Vn,0.003,-4.2,-522,0.026,28.0,-15 V,,,
zet Her,AB,16 41.1,+31 36,2.81,0.65,G1 IV,0.102,3.0,31,0.614,310.0,-70 SB,"A: 2.90; B: 5.53, G7 V, 1.1""",,
eta Her,,16 42.7,+38 56,3.53,0.92,G7.5 IIIb Fe-1,0.034,0.7,120,0.089,158.0,+8 V?,,,
alp TrA,,16 48.2,-69 02,1.92,1.44,K2 IIb-IIIa,0.031,-1.0,110,0.044,141.0,-3,,Atria,
eps Sco,,16 50.0,-34 17,2.29,1.15,K2 III,0.022,0.1,89,0.661,247.0,-3,,,
mu^ 1 Sco,,16 51.7,-38 03,3.1v,-0.2,B1.5 IVn,,-3.5,610,0.031,202.0,-25 SB2,"ecl: 2.80-3.08, 1.4d",,
kap Oph,,16 57.6,+9 22,3.20,1.15,K2 III,0.031,0.1,140,0.293,268.0,-56,,,
zet Ara,,16 58.3,-55 59,3.13,1.6,K4 III,0.044,-0.2,110,0.037,200.0,-6,,,
zet Dra,,17 08.8,+65 44,3.17,-0.12,B6 III,0.023,-1.8,310,0.033,310.0,-17 V,,Aldhibah,الضباع
eta Oph,AB,17 10.2,-15 43,2.43,0.06,A2.5 Va,0.052,1.4,63,0.102,22.0,-1 SB,"A: 3.0; B: 3.5, A3 V, 1""",Sabik,سابق
eta Sco,,17 11.9,-43 14,3.33,0.41,F2p V:(Cr),0.062,2.7,53,0.286,175.0,-27,,,
alp Her,AB,17 14.6,+14 24,3.1v,1.44,M5 Ib-II,0.000,-3.2,630,0.035,348.0,-33 V,"var: 3.0-4.0; B: 5.4, 5""",Ras Algethi,رأس الجاثي
del Her,,17 14.9,+24 51,3.14,0.08,A1 Vann,0.044,0.7,94,0.159,188.0,-40 SB,"B: 8.8, 9""",Sarin,المعصم
pi  Her,,17 14.9,+36 49,3.16,1.44,K3 IIab,0.025,-2.0,330,0.029,276.0,-26,,,
the Oph,,17 21.9,-24 59,3.3v,-0.22,B2 IV,,-3.1,610,0.021,188.0,-2 SB,"occ.bin: 3.4, 5.4; var: 3.25-3.29, 0.14d",,
bet Ara,,17 25.0,-55 31,2.85,1.46,K3 Ib-IIa,0.034,-3.5,580,0.024,182.0,+0,,,
gam Ara,A,17 25.1,-56 22,3.34,-0.13,B1 Ib,,-5.8,2000,0.011,170.0,-3 V,"broad lines for Ib; B: 10.0, 18""",,
ups Sco,,17 30.6,-37 17,2.69,-0.22,B2 IV,0.000,-3.1,460,0.032,182.0,+8 SB,,,
bet Dra,A,17 30.3,+52 19,2.79,0.98,G2 Ib-IIa,0.013,-3.5,490,0.026,301.0,-20 V,"B: 11.5, 4""",Restaban,رأس الثعبان
alp Ara,,17 31.6,-49 52,2.95,-0.17,B2 Vne,0.007,-1.9,280,0.075,199.0,+0 SB,,,
lam Sco,,17 33.4,-37 06,1.6v,-0.22,B1.5 IV,,-3.5,330,0.029,178.0,-3 SB2,"var: 1.59-1.65, 0.21d",Shaula,الشولاء
alp Oph,,17 34.9,+12 34,2.08,0.15,A5 Vnn,0.067,0.7,49,0.255,157.0,+13 SB?,,Rasalhague,رأس الحواء
the Sco,,17 37.1,-43 00,1.87,0.4,F1 III,0.027,-2.4,200,0.016,90.0,+1,,Sargas,
xi  Ser,,17 37.4,-15 24,3.54,0.26,F0 IIIb,0.030,1.8,73,0.076,216.0,-43 SB,,,
kap Sco,,17 42.3,-39 02,2.4v,-0.22,B1.5 III,,-4.2,650,0.03,194.0,-14 SB,"var: 2.39-2.42, 0.2d",Cebalrai,كلب الراعي
bet Oph,,17 43.3,+4 34,2.77,1.16,K2 III,0.033,0.1,110,0.164,345.0,-12 V,,,
mu  Her,A,17 46.2,+27 44,3.42,0.75,G5 IV,0.133,4.0,25,0.808,202.0,-16 V,"BC: 9.78, 33""",,
iot^1 Sco,,17 47.4,-40 07,3.03,0.51,F2 Ia,0.019,-8.0,3500,0.006,171.0,-28 SB,,,
G Sco,,17 49.6,-37 02,3.21,1.17,K2 III,0.040,0.1,130,0.064,58.0,+25,,HR6630,
gam Dra,,17 56.5,+51 29,2.23,1.52,K5 III,0.025,-0.3,100,0.025,213.0,-28,,Etamin,
nu  Oph,,17 58.8,-9 46,3.34,0.99,G9.5 IIIa,0.021,0.2,140,0.118,184.0,+13,,,
gam^2 Sgr,,18 05.6,-30 25,2.99,1.0,K0 III,0.025,0.2,120,0.192,196.0,+22 SB,,Nash,نشابة أو الوردة
eta Sgr,A,18 17.4,-36 46,3.11v,1.56,M3.5 IIIab,0.045,-1.0,210,0.21,218.0,+1 V?,"var: 3.08-3.12; B: 8.33, G8: IV:, 4""",,
del Sgr,,18 20.8,-29 50,2.70,1.38,K2.5 IIIa,0.047,-0.8,140,0.05,127.0,-20,,Kaus Meridionalis,وسط القوس
eta Ser,,18 21.2,-2 54,3.26,0.94,K0 III-IV,0.058,1.8,56,0.89,218.0,+9 V?,,,
eps Sgr,,18 24.0,-34 23,1.85,-0.03,A0 II:n(shell?),0.023,-2.0,76,0.129,194.0,-15,,Kaus Australis,القوس الجنوبي
alp Tel,,18 26.7,-45 58,3.51,-0.17,B3 IV,,-2.4,480,0.048,198.0,+0 V?,,,
lam Sgr,,18 27.8,-25 26,2.81,1.04,K1 IIIb,0.053,0.7,62,0.19,193.0,-43,,Kaus Borealis,القوس الشمالي
alp Lyr,,18 36.8,+38 46,0.03,0.0,A0 Va,0.133,0.6,25,0.348,35.0,-14 V,,Vega,النسر
phi Sgr,,18 45.5,-27 00,3.17,-0.11,B8 III,,-1.0,220,0.052,89.0,+22 SB,"similar companion, 0.1""",,
bet Lyr,,18 49.9,+33 21,3.4v,0.0,B7 Vpe (shell),0.000,-0.3,150,0.002,180.0,-19 SB,"ecl: 3.34-4.34, 12.9d",Sheliak,الشلياق
sig Sgr,,18 55.1,-26 19,2.02,-0.22,B3 IV,,-2.6,170,0.056,166.0,-11 V,,Nunki,
xi^2 Sgr,,18 57.6,-21 07,3.51,1.18,K1 III,0.011,0.1,130,0.035,111.0,-20,,,
gam Lyr,,18 58.7,+32 41,3.24,-0.05,B9 II,0.021,-0.6,190,0.007,288.0,-21 V,,Sulaphat,السلحفاة
zet Sgr,AB,19 02.4,-29 53,2.60,0.08,A2 IV V + A4:V:,0.025,1.4,74,0.014,266.0,+22 SB,"A: 3.2; B: 3.5, <1""",Ascella,
zet Aql,A,19 05.3,+13 52,2.99,0.01,A0 Vann,0.045,0.3,110,0.095,184.0,-25 SB,,,
lam Aql,,19 06.1,-4 53,3.44,-0.09,B9 Vnp (kB7HeA0),0.032,0.6,120,0.09,193.0,-12 V,,,
tau Sgr,,19 06.8,-27 40,3.32,1.19,K1.5 IIIb,0.044,0.7,92,0.255,192.0,+45 SB,,,
pi  Sgr,ABC,19 09.6,-21 01,2.89,0.35,F2 II III,0.026,-1.0,480,0.035,180.0,-10,"A: 3.7; B: 3.8; C: 6.0, <1""",Albaldah,البلدة
del Dra,,19 12.6,+67 40,3.07,1.0,G9 III,0.032,0.3,110,0.13,44.0,+25,,Nodus Secundus,التيس
del Aql,,19 25.4,+3 07,3.36,0.32,F2 IV,0.072,2.2,45,0.267,72.0,-30 SB,,,
bet Cyg,A,19 30.5,+27 57,3.08,1.13,K3 II + B9.5 V,0.017,-2.2,380,0.002,153.0,-24 V,"B: 5.11, 35""; C:  m=1.5, 0.4""",Albireo,منقار الدجاجة
del Cyg,AB,19 44.8,+45 07,2.87,-0.03,B9.5 III,0.030,-0.3,140,0.069,45.0,-20 SB,"B: 6.4, F1 V, 2""",,
gam Aql,,19 46.1,+10 36,2.72,1.52,K3 II,0.016,-2.2,270,0.016,83.0,-2 V,,Tarazed,
alp Aql,,19 50.7,+8 51,0.77,0.22,A7 Vnn,0.202,2.3,16,0.662,54.0,-26,,Altair,الطير
eta Aql,,19 52.3,+1 00,3.9v,0.83,F6-G1 Ib,0.010,-3.7,868,0.009,131.0,-15 SB,"Cepheid var: 3.53-4.33, 7.2d",,
gam Sge,,19 58.7,+19 29,3.47,1.57,M0 III,0.013,-0.7,220,0.07,69.0,-33,,,
the Aql,,20 11.2,-0 50,3.23,-0.07,B9.5 III,0.012,-0.3,170,0.037,79.0,-27 SB2,,,
bet Cap,A,20 20.8,-14 48,3.08,0.79,K0: II: + A5: V:n,0.010,-2.2,560,0.039,86.0,-19 SB,"A: mult: 4.0+4.3+4.8+6.7, <1""",Dabih,الذابح
gam Cyg,,20 22.0,+40 14,2.20,0.68,F8 Ib,0.003,-5.1,800,0.001,27.0,-8,,Sadr,صدر
alp Pav,,20 25.4,-56 45,1.94,-0.2,B2.5 V,,-1.6,150,0.087,169.0,+2 SB,,Peacock,الطاووس
alp Ind,,20 37.3,-47 19,3.11,1.0,K0 III CN-1,0.046,0.2,120,0.09,39.0,-1,,Deneb,ذنب الدجاجة
alp Cyg,,20 41.3,+45 16,1.25,0.09,A2 Ia,0.000,-7.2,1500,0.005,11.0,-5 V,,,
bet Pav,,20 44.6,-66 13,3.42,0.16,A6 IV,0.035,1.5,79,0.041,295.0,+10,,,
eta Cep,,20 45.2,+61 49,3.43,0.92,K0 IV,0.076,3.1,43,0.827,6.0,-87,,,
eps Cyg,,20 46.0,+33 57,2.46,1.03,K0 III,0.057,0.2,57,0.484,47.0,-11 SB,,,
zet Cyg,,21 12.9,+30 12,3.20,0.99,G8 IIIa Ba 0.6,0.027,-0.8,200,0.052,181.0,+17 SB,,,
alp Cep,,21 18.4,+62 34,2.44,0.22,A7 Van,0.068,2.0,48,0.159,71.0,-10 V,,,
bet Cep,,21 28.6,+70 33,3.2v,-0.22,B1 III,0.014,-4.4,1000,0.016,38.0,-8 SB,"var: 3.16-3.27, 0.2d; B: 7.8, 13""",Alderamin,الذراع الأيمن
bet Aqr,,21 31.4,-5 35,2.91,0.83,G0 Ib,0.006,-5.0,710,0.02,105.0,+7,,Alphirk,الكف الخصيب
eps Peg,,21 44.0,+9 51,2.4v,1.53,K2 Ib,0.006,-4.0,470,0.03,81.0,+5 V,var: 0.7-3.5 (flare in 1972),Sadalsuud,سعد السعود
del Cap,,21 46.9,-16 09,2.9v,0.29,A3mF2 IV:,0.087,1.5,37,0.394,138.0,-6 SB,"var: 2.83-3.05, 1d; occ.bin: 3.2 + 5.2",Enif,الأنف
gam Gru,,21 53.8,-37 23,3.01,-0.12,B8 IV-Vs,0.013,-0.5,230,0.104,99.0,-2 V?,,,
alp Aqr,,22 05.6,-0 20,2.96,0.98,G2 Ib,0.012,-5.0,680,0.016,104.0,+8 V?,,Sadalmelik,سعد الملك
alp Gru,,22 08.0,-47 00,1.74,-0.13,B7 Vn,0.057,-0.5,57,0.198,139.0,+12,,Al Nair,النير
the Peg,,22 10.1,+6 11,3.53,0.08,A2mA1 IV-V,0.049,1.4,82,0.277,83.0,-6 SB2,,Baham,سعد البهام
zet Cep,,22 10.7,+58 11,3.35,1.57,K1.5 Ib,0.017,-4.0,750,0.015,58.0,-18 SB,,,
alp Tuc,,22 18.3,-60 17,2.86,1.39,K3 III,0.026,0.0,100,0.071,237.0,+42 SB,,,
del Cep,A,22 29.0,+58 24,4.0v,0.71,F5 G2 Ib,0.011,-3.3,815,0.012,67.0,-16 SB,"Cepheid variable: 3.55-4.41, 5.4d",,
zet Peg,,22 41.3,+10 49,3.40,-0.09,B8.5 III,0.023,-1.0,140,0.08,96.0,+7 V?,,Homam,همام
bet Gru,,22 42.5,-46 54,2.1v,1.6,M5 III,0.008,-1.0,140,0.138,92.0,+2,var: 2.0-2.3,,
eta Peg,,22 42.8,+30 12,2.94,0.86,G8 II + F0 V,0.017,-2.1,330,0.025,148.0,+4 SB,,Matar,مطر
eps Gru,,22 48.4,-51 20,3.49,0.08,A2 Va,0.044,1.0,97,0.126,120.0,+0 V,,,
iot Cep,,22 49.5,+66 11,3.52,1.05,K0 III,0.041,0.2,140,0.137,209.0,-12,,,
mu  Peg,,22 49.9,+24 35,3.48,0.93,G8 III,0.040,0.3,140,0.152,104.0,+14,,,
del Aqr,,22 54.6,-15 51,3.27,0.05,A3 V: (weak 4481),0.038,1.2,85,0.047,242.0,+18 V,,Skat,الساق
alp PsA,,22 57.5,-29 39,1.16,0.09,A3 Va,0.149,2.0,22,0.373,116.0,+7,,Fomalhaut,فم الحوت
bet Peg,,23 03.7,+28 04,2.4v,1.67,M2 II-III,0.022,-2.0,220,0.236,53.0,+9 V,var: 2.31-2.74,Scheat,الساعد
alp Peg,,23 04.6,+15 11,2.49,-0.04,A0 III-IV,0.038,0.1,74,0.073,121.0,-4 SB,,Markab,مركب
gam Cep,,23 39.3,+77 36,3.21,1.03,K1 III-IV,0.068,1.5,48,0.168,337.0,-42,,Alrai,الرأي
